,Time,Commodity,District,Value
61,January 2014,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",7266559
97,February 2014,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",8375394
132,March 2014,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",9828890
168,April 2014,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",7894346
203,May 2014,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",9178653
239,June 2014,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",8073789
277,July 2014,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",8145981
312,August 2014,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",8195422
348,September 2014,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",7814542
384,October 2014,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",8980076
421,November 2014,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6858673
458,December 2014,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6113802
535,January 2015,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",4513983
573,February 2015,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5326256
611,March 2015,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",7101431
647,April 2015,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",8054938
683,May 2015,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",8394946
720,June 2015,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6694696
756,July 2015,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",7130268
790,August 2015,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5580342
826,September 2015,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5558187
862,October 2015,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6427125
899,November 2015,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6030585
936,December 2015,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",4634983
1012,January 2016,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5275112
1049,February 2016,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5226454
1084,March 2016,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",7606272
1121,April 2016,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",7144113
1159,May 2016,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6669812
1194,June 2016,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",8279963
1231,July 2016,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6469641
1266,August 2016,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",7396282
1303,September 2016,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6737865
1338,October 2016,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5920411
1374,November 2016,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6844622
1410,December 2016,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6479471
1486,January 2017,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5628754
1521,February 2017,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",7027289
1559,March 2017,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",7591689
1595,April 2017,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6581600
1631,May 2017,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",7142591
1668,June 2017,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",4972358
1705,July 2017,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5228148
1743,August 2017,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5192811
1777,September 2017,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",4875902
1815,October 2017,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",4864718
1853,November 2017,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5397742
1888,December 2017,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",4791408
1962,January 2018,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5247492
1999,February 2018,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",4585589
2036,March 2018,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5193068
2073,April 2018,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6832352
2109,May 2018,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",7511483
2145,June 2018,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",6506263
2179,July 2018,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",4931915
2215,August 2018,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",5688892
2250,September 2018,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",2957484
2283,October 2018,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",3306595
2321,November 2018,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",2980580
2356,December 2018,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",3184210
2428,January 2019,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",2947250
2462,February 2019,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",3441067
2498,March 2019,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",4159093
2533,April 2019,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",4337324
2565,May 2019,"3915 Waste, Parings And Scrap, Of Plastics","New York City, NY",4579825
